Model,Member,Var,Season,Stat,value,Rank
FGOALS-g3,r1i1p1f1,pr,SON,RMSE,4.4,NA
FGOALS-g3,r1i1p1f1,pr,SON,BIAS,1.4,NA
FGOALS-g3,r3i1p1f1,pr,DJF,RMSE,3.6,NA
FGOALS-g3,r3i1p1f1,pr,DJF,BIAS,1.1,NA
FGOALS-g3,r3i1p1f1,pr,MAM,RMSE,5.4,NA
FGOALS-g3,r3i1p1f1,pr,MAM,BIAS,-0.1,NA
FGOALS-g3,r3i1p1f1,pr,JJA,RMSE,6.3,NA
FGOALS-g3,r3i1p1f1,pr,JJA,BIAS,-0.2,NA
FGOALS-g3,r3i1p1f1,pr,SON,RMSE,3.9,NA
FGOALS-g3,r3i1p1f1,pr,SON,BIAS,-0.4,NA
FGOALS-g3,r4i1p1f1,pr,DJF,RMSE,3.6,NA
FGOALS-g3,r4i1p1f1,pr,DJF,BIAS,-0.7,NA
FGOALS-g3,r4i1p1f1,pr,MAM,RMSE,5.8,NA
FGOALS-g3,r4i1p1f1,pr,MAM,BIAS,0.5,NA
